party,variable,value,people,pct,question.x,topic,question.y,value_label,rank
MAGA Right,CC24_323c,1,3385.0424918794824,0.8227280349923157,What do you think the U.S. government should do about immigration? Build a wall between the U.S. and Mexico.,Immigration,Immigration -- Build a wall between the U.S. and Mexico,Support,3
Traditional Right,CC24_323c,1,7390.530638327739,0.7796112912479193,What do you think the U.S. government should do about immigration? Build a wall between the U.S. and Mexico.,Immigration,Immigration -- Build a wall between the U.S. and Mexico,Support,4
Religious Moderates,CC24_323c,1,6779.661794042845,0.5672824711142946,What do you think the U.S. government should do about immigration? Build a wall between the U.S. and Mexico.,Immigration,Immigration -- Build a wall between the U.S. and Mexico,Support,5
Secular Moderates,CC24_323c,1,639.4948941498199,0.29130676191569804,What do you think the U.S. government should do about immigration? Build a wall between the U.S. and Mexico.,Immigration,Immigration -- Build a wall between the U.S. and Mexico,Support,6
Moderate Left,CC24_323c,1,1279.831115520096,0.16579779323351698,What do you think the U.S. government should do about immigration? Build a wall between the U.S. and Mexico.,Immigration,Immigration -- Build a wall between the U.S. and Mexico,Support,7
Disillusioned Left,CC24_323c,1,395.8447687450037,0.14488818403649428,What do you think the U.S. government should do about immigration? Build a wall between the U.S. and Mexico.,Immigration,Immigration -- Build a wall between the U.S. and Mexico,Support,8
Progressive Left,CC24_323c,1,434.569797836543,0.05078427805201414,What do you think the U.S. government should do about immigration? Build a wall between the U.S. and Mexico.,Immigration,Immigration -- Build a wall between the U.S. and Mexico,Support,9
Progressive Left,CC24_324a,1,8198.53323446031,0.9580891112780868,"On the topic of abortion, do you support or oppose each of the following proposals? Always allow a woman the right to obtain an abortion as a matter of choice.",Abortion,Abortion -- Always allow a woman the right to obtain an abortion as a matter of choice,Support,1
Disillusioned Left,CC24_324a,1,2511.5452547893974,0.9192826578095414,"On the topic of abortion, do you support or oppose each of the following proposals? Always allow a woman the right to obtain an abortion as a matter of choice.",Abortion,Abortion -- Always allow a woman the right to obtain an abortion as a matter of choice,Support,2
Moderate Left,CC24_324a,1,6828.391079399674,0.884594973954689,"On the topic of abortion, do you support or oppose each of the following proposals? Always allow a woman the right to obtain an abortion as a matter of choice.",Abortion,Abortion -- Always allow a woman the right to obtain an abortion as a matter of choice,Support,3
Secular Moderates,CC24_324a,1,1821.66798812673,0.8298177323404226,"On the topic of abortion, do you support or oppose each of the following proposals? Always allow a woman the right to obtain an abortion as a matter of choice.",Abortion,Abortion -- Always allow a woman the right to obtain an abortion as a matter of choice,Support,4
Religious Moderates,CC24_324a,1,7643.364431490547,0.6395520593863511,"On the topic of abortion, do you support or oppose each of the following proposals? Always allow a woman the right to obtain an abortion as a matter of choice.",Abortion,Abortion -- Always allow a woman the right to obtain an abortion as a matter of choice,Support,5
Traditional Right,CC24_324a,1,5293.6831508616,0.5584193285523518,"On the topic of abortion, do you support or oppose each of the following proposals? Always allow a woman the right to obtain an abortion as a matter of choice.",Abortion,Abortion -- Always allow a woman the right to obtain an abortion as a matter of choice,Support,6
MAGA Right,CC24_324a,1,1422.7722646056673,0.3458020489576358,"On the topic of abortion, do you support or oppose each of the following proposals? Always allow a woman the right to obtain an abortion as a matter of choice.",Abortion,Abortion -- Always allow a woman the right to obtain an abortion as a matter of choice,Support,7
Faith-Based Conservatives,CC24_324a,1,1050.9733927081616,0.3164483515502998,"On the topic of abortion, do you support or oppose each of the following proposals? Always allow a woman the right to obtain an abortion as a matter of choice.",Abortion,Abortion -- Always allow a woman the right to obtain an abortion as a matter of choice,Support,8
Nationalist Right,CC24_324a,1,1176.0257097276033,0.11843379719675676,"On the topic of abortion, do you support or oppose each of the following proposals? Always allow a woman the right to obtain an abortion as a matter of choice.",Abortion,Abortion -- Always allow a woman the right to obtain an abortion as a matter of choice,Support,9
Nationalist Right,CC24_326d,1,8779.28572603097,0.8841338557555585,Do you support or oppose each of the following proposals? Increase fossil fuel production in the U.S.,Environment,Environment -- Increase fossil fuel production in the U.S.,Support,1
MAGA Right,CC24_326d,1,3322.372666977102,0.8074962551789343,Do you support or oppose each of the following proposals? Increase fossil fuel production in the U.S.,Environment,Environment -- Increase fossil fuel production in the U.S.,Support,2
Faith-Based Conservatives,CC24_326d,1,2670.3444122059964,0.8040413707683575,Do you support or oppose each of the following proposals? Increase fossil fuel production in the U.S.,Environment,Environment -- Increase fossil fuel production in the U.S.,Support,3
Traditional Right,CC24_326d,1,7213.191038605349,0.7609041156613708,Do you support or oppose each of the following proposals? Increase fossil fuel production in the U.S.,Environment,Environment -- Increase fossil fuel production in the U.S.,Support,4
Religious Moderates,CC24_326d,1,7222.836886601677,0.6043647724562264,Do you support or oppose each of the following proposals? Increase fossil fuel production in the U.S.,Environment,Environment -- Increase fossil fuel production in the U.S.,Support,5
Secular Moderates,CC24_326d,1,757.6911669013393,0.3451482762119535,Do you support or oppose each of the following proposals? Increase fossil fuel production in the U.S.,Environment,Environment -- Increase fossil fuel production in the U.S.,Support,6
Moderate Left,CC24_326d,1,2408.8639824322727,0.31206018328806734,Do you support or oppose each of the following proposals? Increase fossil fuel production in the U.S.,Environment,Environment -- Increase fossil fuel production in the U.S.,Support,7
Disillusioned Left,CC24_326d,1,640.457851798669,0.23442213318423424,Do you support or oppose each of the following proposals? Increase fossil fuel production in the U.S.,Environment,Environment -- Increase fossil fuel production in the U.S.,Support,8
Progressive Left,CC24_326d,1,1291.3534390930151,0.1509089044862514,Do you support or oppose each of the following proposals? Increase fossil fuel production in the U.S.,Environment,Environment -- Increase fossil fuel production in the U.S.,Support,9
Progressive Left,CC24_340c,1,8292.17768216585,0.9690324987246636,Do you support or oppose each of the following bills before Congress? Require that all federal agencies recognize same-sex marriages and interracial marriages.,LGBT,Congress Bills -- Require that all federal agencies recognize same-sex marriages and interracial marriages,Support,1
Disillusioned Left,CC24_340c,1,2514.698139227733,0.9204366851879906,Do you support or oppose each of the following bills before Congress? Require that all federal agencies recognize same-sex marriages and interracial marriages.,LGBT,Congress Bills -- Require that all federal agencies recognize same-sex marriages and interracial marriages,Support,2
Moderate Left,CC24_340c,1,6909.264963312696,0.8950719121384842,Do you support or oppose each of the following bills before Congress? Require that all federal agencies recognize same-sex marriages and interracial marriages.,LGBT,Congress Bills -- Require that all federal agencies recognize same-sex marriages and interracial marriages,Support,3
Secular Moderates,CC24_340c,1,1839.2329487793263,0.837819034395675,Do you support or oppose each of the following bills before Congress? Require that all federal agencies recognize same-sex marriages and interracial marriages.,LGBT,Congress Bills -- Require that all federal agencies recognize same-sex marriages and interracial marriages,Support,4
Religious Moderates,CC24_340c,1,7484.199462587656,0.6262340651239531,Do you support or oppose each of the following bills before Congress? Require that all federal agencies recognize same-sex marriages and interracial marriages.,LGBT,Congress Bills -- Require that all federal agencies recognize same-sex marriages and interracial marriages,Support,5
Traditional Right,CC24_340c,1,5829.284425284415,0.6149187629747341,Do you support or oppose each of the following bills before Congress? Require that all federal agencies recognize same-sex marriages and interracial marriages.,LGBT,Congress Bills -- Require that all federal agencies recognize same-sex marriages and interracial marriages,Support,6
Faith-Based Conservatives,CC24_340c,1,1347.0420834644233,0.4055947084281384,Do you support or oppose each of the following bills before Congress? Require that all federal agencies recognize same-sex marriages and interracial marriages.,LGBT,Congress Bills -- Require that all federal agencies recognize same-sex marriages and interracial marriages,Support,7
MAGA Right,CC24_340c,1,1617.125796011686,0.3930392991165578,Do you support or oppose each of the following bills before Congress? Require that all federal agencies recognize same-sex marriages and interracial marriages.,LGBT,Congress Bills -- Require that all federal agencies recognize same-sex marriages and interracial marriages,Support,8
Nationalist Right,CC24_340c,1,2489.793838063826,0.25073919391378596,Do you support or oppose each of the following bills before Congress? Require that all federal agencies recognize same-sex marriages and interracial marriages.,LGBT,Congress Bills -- Require that all federal agencies recognize same-sex marriages and interracial marriages,Support,9
Progressive Left,CC24_341c,1,7962.993600678678,0.9305637049710084,"Do you support or oppose each of the following proposals? Allow tax rates on those earning $400,000 or more a year to rise to 35 percent.",Taxes,"Tax rates -- Allow tax rates on those earning $400,000 or more a year to rise to 35 percent",Support,1
Disillusioned Left,CC24_341c,1,2387.2814129102317,0.8737992668117219,"Do you support or oppose each of the following proposals? Allow tax rates on those earning $400,000 or more a year to rise to 35 percent.",Taxes,"Tax rates -- Allow tax rates on those earning $400,000 or more a year to rise to 35 percent",Support,2
Moderate Left,CC24_341c,1,6466.046990038612,0.8376545224539007,"Do you support or oppose each of the following proposals? Allow tax rates on those earning $400,000 or more a year to rise to 35 percent.",Taxes,"Tax rates -- Allow tax rates on those earning $400,000 or more a year to rise to 35 percent",Support,3
Religious Moderates,CC24_341c,1,9498.395966230466,0.7947702553658098,"Do you support or oppose each of the following proposals? Allow tax rates on those earning $400,000 or more a year to rise to 35 percent.",Taxes,"Tax rates -- Allow tax rates on those earning $400,000 or more a year to rise to 35 percent",Support,4
Secular Moderates,CC24_341c,1,1736.050985348484,0.7908169333154105,"Do you support or oppose each of the following proposals? Allow tax rates on those earning $400,000 or more a year to rise to 35 percent.",Taxes,"Tax rates -- Allow tax rates on those earning $400,000 or more a year to rise to 35 percent",Support,5
Traditional Right,CC24_341c,1,4649.692995624292,0.49048618260586446,"Do you support or oppose each of the following proposals? Allow tax rates on those earning $400,000 or more a year to rise to 35 percent.",Taxes,"Tax rates -- Allow tax rates on those earning $400,000 or more a year to rise to 35 percent",Support,6
Faith-Based Conservatives,CC24_341c,1,1292.1459669890328,0.38906547401965674,"Do you support or oppose each of the following proposals? Allow tax rates on those earning $400,000 or more a year to rise to 35 percent.",Taxes,"Tax rates -- Allow tax rates on those earning $400,000 or more a year to rise to 35 percent",Support,7
MAGA Right,CC24_341c,1,1585.185097313192,0.3852761740333326,"Do you support or oppose each of the following proposals? Allow tax rates on those earning $400,000 or more a year to rise to 35 percent.",Taxes,"Tax rates -- Allow tax rates on those earning $400,000 or more a year to rise to 35 percent",Support,8
Nationalist Right,CC24_341c,1,3161.85880653353,0.31842071271087186,"Do you support or oppose each of the following proposals? Allow tax rates on those earning $400,000 or more a year to rise to 35 percent.",Taxes,"Tax rates -- Allow tax rates on those earning $400,000 or more a year to rise to 35 percent",Support,9
Progressive Left,CC24_420_5,1,6690.536031069595,0.7818629914236672,Would you approve of the use of U.S. military troops in order to protect American allies under attack by foreign nations?,Foreign Policy,Use U.S. military troops - Protect American allies under attack by foreign nations,selected,1
Moderate Left,CC24_420_5,1,5625.452939823138,0.7287584057390681,Would you approve of the use of U.S. military troops in order to protect American allies under attack by foreign nations?,Foreign Policy,Use U.S. military troops - Protect American allies under attack by foreign nations,selected,2
Nationalist Right,CC24_420_5,1,6986.723612982023,0.7036106443977056,Would you approve of the use of U.S. military troops in order to protect American allies under attack by foreign nations?,Foreign Policy,Use U.S. military troops - Protect American allies under attack by foreign nations,selected,3
Secular Moderates,CC24_420_5,1,1523.4935323632862,0.6939914169326955,Would you approve of the use of U.S. military troops in order to protect American allies under attack by foreign nations?,Foreign Policy,Use U.S. military troops - Protect American allies under attack by foreign nations,selected,4
Religious Moderates,CC24_420_5,1,7868.097474386061,0.6583564068284038,Would you approve of the use of U.S. military troops in order to protect American allies under attack by foreign nations?,Foreign Policy,Use U.S. military troops - Protect American allies under attack by foreign nations,selected,5
Traditional Right,CC24_420_5,1,5965.069007779736,0.6292423885533553,Would you approve of the use of U.S. military troops in order to protect American allies under attack by foreign nations?,Foreign Policy,Use U.S. military troops - Protect American allies under attack by foreign nations,selected,6
Disillusioned Left,CC24_420_5,1,1602.2960092121075,0.5864767641105649,Would you approve of the use of U.S. military troops in order to protect American allies under attack by foreign nations?,Foreign Policy,Use U.S. military troops - Protect American allies under attack by foreign nations,selected,7
Faith-Based Conservatives,CC24_420_5,1,1935.9895503974212,0.5829269381056451,Would you approve of the use of U.S. military troops in order to protect American allies under attack by foreign nations?,Foreign Policy,Use U.S. military troops - Protect American allies under attack by foreign nations,selected,8
MAGA Right,CC24_420_5,1,1976.1490212375231,0.4802992000824249,Would you approve of the use of U.S. military troops in order to protect American allies under attack by foreign nations?,Foreign Policy,Use U.S. military troops - Protect American allies under attack by foreign nations,selected,9
Nationalist Right,pew_religimp,1,7810.082578584533,0.7865284989528466,How important is religion in your life?,Religion,Importance of religion (Pew version),Very important,1
Faith-Based Conservatives,pew_religimp,1,1736.903261651296,0.5229820067428846,How important is religion in your life?,Religion,Importance of religion (Pew version),Very important,2
Religious Moderates,pew_religimp,1,6052.807727469705,0.5064635713592364,How important is religion in your life?,Religion,Importance of religion (Pew version),Very important,3
MAGA Right,pew_religimp,1,1940.32835098136,0.47159305541137353,How important is religion in your life?,Religion,Importance of religion (Pew version),Very important,4
Secular Moderates,pew_religimp,1,565.8472647474919,0.2577583276119623,How important is religion in your life?,Religion,Importance of religion (Pew version),Very important,5
Disillusioned Left,pew_religimp,1,482.3831113795262,0.17656318470303362,How important is religion in your life?,Religion,Importance of religion (Pew version),Very important,6
Moderate Left,pew_religimp,1,1282.4961061817569,0.16614303376200054,How important is religion in your life?,Religion,Importance of religion (Pew version),Very important,7
Progressive Left,pew_religimp,1,1368.6393395538212,0.15994061510682803,How important is religion in your life?,Religion,Importance of religion (Pew version),Very important,8
Traditional Right,pew_religimp,1,1272.3399754355714,0.13421642635664846,How important is religion in your life?,Religion,Importance of religion (Pew version),Very important,9
